id,zone,label
1,Undead Asylum,Undead Asylum 1
2,Undead Asylum,Undead Asylum 2
3,Firelink Shrine,Firelink Shrine
4,Firelink Altar,Lordvessel
5,Undead Burg,Undead Burg
6,Undead Burg,Sunlight Altar
7,Undead Parish,Undead Parish
8,Darkroot Garden,Darkroot Garden
9,Darkroot Basin,Darkroot Basin
10,Depths,Depths
11,Blighttown,Blighttown Catwalk
12,Blighttown,Blighttown Swamp
13,Quelaag's Domain,Daughter of Chaos
14,The Great Hollow,The Great Hollow
15,Ash Lake,Ash Lake
16,Ash Lake,Stone Dragon
17,Demon Ruins,Demon Ruins Entrance
18,Demon Ruins,Demon Ruins Staircase
19,Demon Ruins,Demon Ruins Catacombs
20,Lost Izalith,Lost Izalith Lava Pits
21,Lost Izalith,Lost Izalith 2
22,Lost Izalith,Heart of Chaos
23,Sen's Fortress,Sen's Fortress
24,Anor Londo,Anor Londo
25,Anor Londo,Darkmoon Tomb
26,Anor Londo,Anor Londo Residence
27,Anor Londo,Chamber of the Princess
28,Painted World of Ariamis,Painted World of Ariamis
29,The Duke's Archives,Duke's Archives 1
30,The Duke's Archives,Duke's Archives 2
31,The Duke's Archives,Duke's Archives 3
32,Crystal Cave,Crystal Cave
33,Catacombs,Catacombs 1
34,Catacombs,Catacombs 2
35,Tomb of the Giants,Tomb of Giants 1
36,Tomb of the Giants,Tomb of Giants 2
37,Tomb of the Giants,Altar of the Gravelord
38,The Abyss,The Abyss
39,Kiln of the First Flame,Kiln of the First Flame
