Source,Target
1,56
1,6
1,3
2,3
3,1
3,2
4,5
4,10
5,4
6,7
7,8
7,9
7,6
8,11
8,9
8,7
9,10
9,47
9,7
9,8
10,47
10,4
10,9
11,12
11,8
12,13
12,11
13,14
13,16
13,12
14,15
14,13
16,17
16,13
17,18
17,16
18,19
18,20
18,17
18,22
19,25
19,18
20,21
20,23
20,18
21,22
21,23
21,20
22,18
22,24
22,21
22,23
23,21
23,22
23,20
24,29
24,22
25,26
25,19
26,27
26,28
26,25
27,28
27,26
28,26
28,27
29,30
29,31
29,24
30,35
30,29
31,33
31,34
31,29
32,34
32,33
33,32
33,34
33,31
34,31
34,32
34,33
35,36
35,30
36,37
36,35
37,38
37,39
37,44
37,36
37,42
38,39
38,44
38,37
39,40
39,37
39,38
40,41
40,42
40,39
41,42
41,43
41,40
42,37
42,40
42,41
44,45
44,52
44,37
44,38
45,46
45,44
47,48
47,9
47,10
48,49
48,47
49,50
49,48
50,51
50,49
51,50
52,53
53,54
53,52
54,55
54,53
55,54
56,57
57,58
57,56
58,57
