id,zone,label
1,Things Betwixt,Fire Keepers' Dwelling
2,Majula,The Far Fire
3,Forest of Fallen Giants,The Crestfallen's Retreat
4,Forest of Fallen Giants,Cardinal Tower
5,Forest of Fallen Giants,Soldier's Rest
6,Forest of Fallen Giants,The Place Unbeknownst
7,Heide's Tower of Flame,Heide's Ruin
8,Heide's Tower of Flame,Tower of Flame
9,Cathedral of Blue,The Blue Cathedral
10,No Man's Wharf,Unseen Path to Heide
11,The Lost Bastille,Exile Holding Cells
12,The Lost Bastille,McDuff's Workshop
13,The Lost Bastille,Servants' Quarters
14,The Lost Bastille,Straid's Cell
15,The Lost Bastille,The Tower Apart
16,Sinner's Rise,The Saltfort
17,Belfry Luna,Upper Ramparts
18,Huntsman's Copse,Undead Refuge
19,Huntsman's Copse,Bridge Approach
20,Huntsman's Copse,Undead Lockaway
21,Undead Purgatory,Undead Purgatory
22,Harvest Valley,Poison Pool
23,Harvest Valley,The Mines
24,Earthen Peak,Lower Earthen Peak
25,Earthen Peak,Central Earthen Peak
26,Earthen Peak,Upper Earthen Peak
27,Iron Keep,Threshold Bridge
28,Iron Keep,Ironheart Hall
29,Iron Keep,Eygil's Idol
30,Belfry Sol,Belfry Sol Approach
31,Shaded Woods,Old Akelarre
32,Shaded Woods,Ruined Fork Road
33,Shaded Woods,Shaded Ruins
34,Doors of Pharros,Gyrm's Respite
35,Doors of Pharros,Ordeal's End
36,Brightstone Cove Tseldora,Royal Army Campsite
37,Brightstone Cove Tseldora,Chapel Threshold
38,Brightstone Cove Tseldora,Lower Brightstone Cove
39,Grave of Saints,Harval's Resting Place
40,Grave of Saints,Grave Entrance
41,The Gutter,Upper Gutter
42,The Gutter,Central Gutter
43,Black Gulch,Black Gulch Mouth
44,Black Gulch,Hidden Chamber
45,Drangleic Castle,King's Gate
46,Drangleic Castle,Forgotten Chamber
47,Drangleic Castle,Under Castle Drangleic
48,Drangleic Castle,Central Castle Drangleic
49,Shrine of Amana,Tower of Prayer
50,Shrine of Amana,Crumbled Ruins
51,Shrine of Amana,Rhoy's Resting Place
52,Shrine of Amana,Rise of the Dead
53,Undead Crypt,Undead Crypt Entrance
54,Undead Crypt,Undead Ditch
55,Aldia's Keep,Foregarden
56,Aldia's Keep,Ritual Site
57,Dragon Aerie,Dragon Aerie
58,Dragon Shrine,Shrine Entrance
